STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
48,481777,2,0,5,5,0,7,9,2011,4,6,25,1,31.34352222,-94.59026944,6,1,0,88,88,0,0,0,1,0
48,481778,1,0,1,29,4015,7,9,2011,4,22,26,0,29.56723889,-98.33238889,0,1,0,88,88,0,0,0,1,1
48,481779,2,0,2,29,6090,7,9,2011,4,20,41,1,29.41846944,-98.50223889,0,1,0,88,88,4,0,0,1,1
48,481780,2,0,2,211,0,7,9,2011,4,16,50,0,35.81301111,-100.0051111,2,1,0,17,40,0,0,0,2,0
48,481781,2,0,3,361,0,7,9,2011,4,5,54,0,30.04940833,-93.77258611,6,1,0,6,5,0,0,0,1,0
48,481782,2,0,2,113,3880,8,9,2011,5,2,25,1,32.65364722,-96.75903889,1,1,0,88,88,20,0,0,1,1
48,481783,2,0,2,201,0,8,9,2011,5,17,55,1,30.059325,-95.43299722,1,1,0,88,88,0,0,0,1,0
48,481784,1,0,2,355,0,8,9,2011,5,17,35,0,27.652575,-97.74928333,0,1,0,99,99,0,0,0,1,1
48,481785,2,0,3,29,6090,9,9,2011,6,9,52,1,29.41081111,-98.40556111,2,1,0,10,8,0,0,0,1,0
48,481786,2,0,2,493,0,9,9,2011,6,18,30,1,29.32318611,-98.092975,2,1,0,88,88,0,0,0,1,0
48,481787,1,0,2,29,6090,10,9,2011,7,2,12,0,29.48633056,-98.50787778,0,1,0,2,18,0,0,0,1,1
48,481788,2,0,6,113,1870,10,9,2011,7,16,7,0,32.60427222,-96.88254722,2,1,0,16,11,0,0,0,1,0
48,481789,1,0,1,139,9997,10,9,2011,7,3,12,1,32.50348333,-97.05466111,0,1,0,88,88,0,0,0,1,1
48,481790,2,0,4,423,7443,10,9,2011,7,6,21,0,32.20660556,-95.21703333,2,1,0,6,30,0,0,0,1,1
48,481791,1,0,4,439,260,10,9,2011,7,1,19,0,32.70429167,-97.19062222,0,1,0,1,27,0,0,0,3,1
48,481792,4,0,4,439,2850,10,9,2011,7,22,59,1,32.89283056,-97.08339167,1,1,0,23,8,0,0,0,1,0
48,481793,2,0,4,141,0,11,9,2011,1,13,0,1,31.68194444,-106.2212694,2,1,0,13,10,0,0,0,1,0
48,481794,1,1,1,181,550,11,9,2011,1,1,10,1,33.62737778,-96.40231389,0,1,0,88,88,19,0,0,1,0
48,481795,1,0,1,245,0,11,9,2011,1,15,6,0,29.88039167,-94.16152222,0,1,0,88,88,0,0,0,1,0
48,481796,2,0,2,113,1730,12,9,2011,2,19,10,0,32.84301944,-96.68534167,6,1,0,19,23,0,0,0,1,1
48,481797,1,0,1,95,0,13,9,2011,3,8,45,0,31.49360278,-99.91868056,0,1,0,88,88,0,0,0,1,0
48,481798,1,1,1,309,7210,13,9,2011,3,23,41,0,31.57298611,-97.16601389,0,1,0,88,88,0,0,0,1,0
48,481799,2,0,2,419,0,13,9,2011,3,16,59,1,31.89480278,-94.21724722,2,1,0,17,12,0,0,0,1,0
48,481800,1,0,1,455,0,13,9,2011,3,13,10,0,30.95600833,-95.18245833,0,1,0,88,88,0,0,0,1,0
48,481801,1,1,2,29,6090,14,9,2011,4,23,0,0,29.42752222,-98.57100556,0,1,0,23,8,0,0,0,1,0
48,481803,2,0,4,309,7210,14,9,2011,4,9,49,0,31.50906389,-97.15645556,6,1,0,10,1,0,0,0,1,0
48,481804,1,0,1,113,1730,15,9,2011,5,1,50,1,32.78011111,-96.91756389,0,10,0,2,12,0,0,0,1,1
48,481805,1,0,1,27,3690,17,9,2011,7,1,47,1,31.11356111,-97.7609,0,1,0,88,88,0,0,0,1,1
48,481806,2,1,2,29,6090,17,9,2011,7,0,40,1,29.44802778,-98.51513333,0,1,0,0,43,16,0,0,1,0
48,481807,2,0,2,201,0,17,9,2011,7,9,50,0,29.97136944,-95.596275,6,1,0,10,14,0,0,0,1,0
48,481808,1,1,2,397,5910,17,9,2011,7,8,10,1,32.94983333,-96.46235278,0,1,0,8,16,0,0,0,1,0
48,481809,1,0,1,29,6090,18,9,2011,1,17,35,1,29.52008889,-98.39446111,0,1,0,88,88,0,0,0,1,0
48,481810,2,0,3,177,7220,20,9,2011,3,6,45,0,29.68964722,-97.279375,6,1,0,88,88,0,0,0,1,0
48,481811,2,0,2,231,1490,26,3,2011,7,17,28,0,33.274775,-95.89554722,6,1,0,99,99,0,0,0,1,0
48,481812,1,0,2,85,5390,7,5,2011,7,14,30,1,33.01915278,-96.70936944,0,1,0,14,38,19,0,0,1,0
48,481813,1,0,1,303,4140,8,5,2011,1,2,21,1,33.59231944,-101.8821889,0,1,0,2,26,0,0,0,1,1
48,481814,3,0,4,303,4140,23,5,2011,2,11,3,0,33.51976667,-101.8877194,6,1,0,11,7,0,0,0,1,0
48,481815,1,0,1,439,2450,25,6,2011,7,8,48,1,32.72133056,-97.29164167,0,99,0,88,88,0,0,0,1,1
48,481816,2,0,3,379,0,8,7,2011,6,20,23,0,32.80913611,-95.78932778,2,1,0,99,99,0,0,0,1,1
48,481817,2,0,2,85,5390,11,8,2011,5,18,30,9,33.05564444,-96.68990278,6,1,0,18,37,0,0,0,1,1
48,481818,2,0,2,439,2450,14,8,2011,1,5,5,1,32.77757778,-97.34664167,1,1,0,99,99,0,0,0,1,1
48,481819,1,0,1,271,0,23,8,2011,3,8,18,0,29.37878056,-100.3160917,0,1,0,99,99,0,0,0,1,0
48,481820,1,0,2,101,0,27,8,2011,7,8,45,0,34.28001111,-100.4749917,0,1,0,10,41,0,0,0,1,0
48,481821,1,0,1,367,0,28,8,2011,1,2,35,0,32.95031111,-97.62496389,0,1,0,88,88,0,0,0,1,0
48,481822,2,0,3,367,0,31,8,2011,4,19,10,0,32.84766111,-97.82325278,2,1,0,99,99,0,0,0,3,1
48,481823,1,0,1,201,480,2,9,2011,6,23,18,1,29.75045,-94.97450833,0,1,0,23,37,0,0,0,1,0
48,481824,2,0,2,141,2190,3,9,2011,7,2,18,1,31.75559722,-106.3495111,6,1,0,2,21,0,0,0,1,2
48,481825,2,0,5,227,0,3,9,2011,7,13,42,1,32.2004,-101.6068889,11,1,0,14,0,0,0,0,1,0
48,481826,2,0,2,439,2450,3,9,2011,7,8,17,1,32.728575,-97.50591389,1,1,0,8,28,0,0,0,1,0
48,481827,2,1,2,355,1550,4,9,2011,1,1,5,1,27.70694167,-97.36877222,2,1,0,1,16,19,23,0,1,0
48,481828,1,0,1,201,0,5,9,2011,2,18,0,0,29.89471667,-95.22869722,0,1,0,88,88,0,0,0,1,0
48,481829,1,0,1,317,0,6,9,2011,3,17,33,1,32.32822778,-102.1726694,0,1,0,88,88,0,0,0,1,1
48,481830,1,1,1,113,1730,8,9,2011,5,10,25,1,32.767225,-96.80554722,0,1,0,10,27,0,0,0,1,0
48,481831,2,0,4,39,3800,10,9,2011,7,21,15,1,29.06626111,-95.45235278,1,1,0,88,88,0,0,0,1,0
48,481832,2,0,2,167,3850,12,9,2011,2,4,56,1,29.38954722,-95.02059722,6,1,0,88,88,0,0,0,1,0
