STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10133,1,0,1,57,4,4,2010,1,12,30,0,33.834975,-87.58827222,0,1,0,12,58,0,0,0,1,0
1,10134,1,0,1,127,4,4,2010,1,2,15,0,33.87958056,-87.34879167,0,1,0,2,40,0,0,0,1,1
1,10135,2,0,3,15,5,4,2010,2,12,30,1,33.64565278,-85.65857222,2,1,0,12,45,0,0,0,1,0
1,10136,2,0,5,113,5,4,2010,2,18,0,0,32.4807,-84.9986,6,1,0,18,37,0,0,0,1,0
1,10137,1,0,2,21,5,4,2010,2,0,15,1,32.93394722,-86.66026389,0,1,0,0,27,0,0,0,1,0
1,10138,2,0,5,31,10,3,2010,4,19,20,0,31.48913611,-85.91366111,6,1,0,20,0,0,0,0,1,0
1,10139,1,0,3,123,10,3,2010,4,6,24,1,32.95979722,-86.00148056,0,2,0,6,35,0,0,0,1,0
1,10140,2,0,2,127,10,3,2010,4,21,10,0,33.84114167,-87.23746944,1,2,0,21,15,0,0,0,1,0
1,10141,2,2,1,15,11,3,2010,5,16,14,0,33.87365833,-85.9152,0,1,0,16,30,15,0,0,2,0
1,10142,1,0,1,47,13,3,2010,7,20,50,1,32.24699722,-87.40649722,0,1,0,21,10,0,0,0,1,1
1,10143,1,0,1,5,14,3,2010,1,15,30,0,32.0571,-85.22897222,0,1,0,15,35,0,0,0,1,0
1,10144,1,0,2,85,14,3,2010,1,0,0,0,32.19651389,-86.43018333,0,1,0,0,25,0,0,0,2,1
1,10145,1,0,1,97,15,3,2010,2,19,30,0,31.12499444,-88.10083611,0,1,0,20,9,0,0,0,1,1
1,10146,1,0,2,125,19,3,2010,6,3,10,0,33.25655278,-87.16114444,0,1,0,3,32,0,0,0,2,1
