STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,WEATHER,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD
1,47,3,11,16,5,1,2,0,0,0,1,16,21,0,0,0,0,1,7,0,10144,2006,32.42081389,-87.12359722
1,47,3,10,23,13,1,5,0,0,0,1,23,41,0,0,0,0,2,6,0,10145,2006,32.27781389,-87.39286389
1,61,3,11,16,0,1,3,0,0,0,1,16,31,0,0,0,0,1,7,0,10146,2006,30.993725,-86.17675
1,89,3,11,18,12,2,6,0,0,2,1,18,18,0,0,0,0,1,7,0,10147,2006,34.6983,-86.62731111
1,49,2,14,8,3,2,2,0,0,2,1,8,10,0,0,0,0,1,3,0,10148,2006,34.64354167,-85.64647778
1,97,3,11,1,5,1,3,0,1,0,1,1,20,0,0,0,0,1,7,0,10149,2006,30.55936944,-88.20265556
1,1,3,10,2,30,1,1,0,1,0,1,2,45,0,0,0,0,1,6,1,10150,2006,32.66037222,-86.50133889
1,9,3,14,19,40,2,2,0,1,2,1,19,50,0,0,0,0,2,3,0,10151,2006,33.93269722,-86.60005
1,1,3,14,6,49,1,1,0,0,0,1,6,56,0,0,0,0,1,3,0,10152,2006,32.44371667,-86.46476389
1,9,3,14,22,50,1,1,0,1,0,1,23,10,0,0,0,0,1,3,0,10153,2006,34.08196944,-86.342425
1,97,3,15,15,25,1,1,0,0,0,1,15,45,0,0,0,0,1,4,0,10154,2006,30.47608333,-88.22551667
1,83,3,15,10,45,3,8,0,0,8,1,10,53,0,0,0,0,1,4,0,10155,2006,34.77691944,-87.01512222
1,43,3,15,10,53,2,3,0,0,2,1,11,6,0,0,0,0,1,4,0,10156,2006,34.02452222,-86.908925
1,85,3,16,5,10,1,1,0,0,0,1,6,9,0,0,0,0,1,5,0,10157,2006,32.33217778,-86.59510556
1,5,3,16,6,40,1,1,0,0,0,1,7,10,0,0,0,0,1,5,0,10158,2006,31.72506389,-85.65402222
1,95,3,16,22,38,1,1,0,0,0,1,23,5,0,0,0,0,1,5,0,10159,2006,34.15885556,-86.35238056
1,39,3,16,7,40,2,2,0,1,2,1,7,50,0,0,0,0,1,5,0,10160,2006,31.3144,-86.41334444
1,89,3,17,10,46,1,1,0,0,0,1,10,51,0,0,0,0,1,6,0,10161,2006,34.97121389,-86.72431111
1,1,3,17,18,30,1,2,0,0,0,1,19,55,0,0,0,0,1,6,1,10162,2006,32.59558611,-86.67854167
1,55,3,17,10,0,2,2,0,0,2,1,10,2,0,0,0,0,1,6,0,10163,2006,33.99078611,-86.03892222
1,83,3,21,23,30,2,2,0,1,11,1,23,50,0,14,0,0,1,3,0,10164,2006,34.836625,-86.93630278
