STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD,WEATHER
1,127,3,4,20,5,2,3,0,1,5,20,20,0,0,0,0,1,4,1,10173,2009,33.7971,-87.1109,1
1,91,3,21,17,20,1,4,0,0,0,17,45,0,0,0,0,1,7,0,10174,2009,32.421,-87.9167,1
1,81,3,23,15,10,1,1,0,0,0,15,25,0,0,0,0,1,2,0,10175,2009,32.6136,-85.2625,1
1,33,3,25,11,0,1,3,0,1,0,11,10,0,0,0,0,2,4,0,10176,2009,34.6283,-87.6495,2
1,27,4,1,19,35,1,3,0,0,0,20,8,0,0,0,0,1,4,0,10177,2009,33.4946,-85.7464,1
1,89,4,3,22,30,1,2,1,1,0,22,35,0,0,0,0,1,6,0,10178,2009,34.7352,-86.6128,1
1,125,4,4,0,25,1,1,0,0,0,0,55,0,0,0,0,1,7,1,10179,2009,33.3692,-87.5482,1
1,49,4,4,15,45,1,1,0,0,0,16,2,0,0,0,0,1,7,0,10180,2009,34.3421,-85.743,1
1,19,4,5,2,35,1,2,0,0,0,3,18,0,20,0,0,1,1,1,10181,2009,34.2334,-85.7745,1
1,77,4,5,2,0,1,1,0,0,0,88,88,0,0,0,0,1,1,1,10182,2009,34.8629,-87.3153,1
1,125,4,8,14,5,1,1,0,0,0,14,20,0,0,0,0,1,4,1,10183,2009,33.3741,-87.5464,1
1,109,4,9,20,16,1,1,0,0,0,20,20,0,0,0,0,1,5,0,10184,2009,31.753,-86.0225,1
1,125,4,10,1,0,1,1,0,1,0,1,15,0,0,0,0,1,6,1,10185,2009,33.1158,-87.4764,1
1,125,4,10,22,45,1,2,1,0,0,22,53,0,0,0,0,1,6,0,10186,2009,33.1974,-87.5032,1
1,115,4,11,0,4,2,3,0,1,1,0,13,0,0,0,0,1,7,0,10187,2009,33.5921,-86.4221,1
1,97,4,11,15,30,1,3,0,0,0,15,44,0,0,0,0,2,7,1,10188,2009,30.465,-88.2339,1
1,1,4,12,23,45,1,2,1,0,0,0,10,0,0,0,0,1,1,0,10189,2009,32.4299,-86.668,2
1,65,4,12,16,50,1,1,0,0,0,17,39,0,0,0,0,1,1,0,10190,2009,32.8759,-87.7171,1
1,69,4,13,15,45,1,1,0,0,0,15,53,0,0,0,0,1,2,1,10191,2009,31.0275,-85.3928,2
1,43,4,13,13,10,1,1,0,1,0,13,23,0,0,0,0,1,2,1,10192,2009,33.9856,-86.8596,1
1,41,4,14,21,30,1,1,0,0,0,22,0,0,0,0,0,1,3,0,10193,2009,31.8372,-86.4355,1
1,55,4,16,21,55,1,2,0,0,0,22,3,0,0,0,0,2,5,1,10194,2009,34.0671,-86.2521,1
1,111,4,16,19,20,2,4,0,0,7,19,45,0,0,0,0,1,5,0,10195,2009,33.2687,-85.5036,1
1,47,4,16,22,45,1,1,0,1,0,23,7,0,0,0,0,1,5,0,10196,2009,32.3386,-86.9516,1
1,127,4,17,13,45,2,4,1,0,0,13,50,0,0,0,0,1,6,0,10197,2009,33.757,-87.0341,1
1,87,4,17,10,30,1,1,0,0,0,88,88,0,0,0,0,1,6,0,10198,2009,32.4527,-85.6528,1
1,123,4,17,21,14,1,1,0,0,0,21,30,0,0,0,0,1,6,0,10199,2009,32.7648,-85.768,1
1,125,4,18,23,55,1,1,0,1,0,0,30,0,0,0,0,1,7,0,10200,2009,33.5357,-87.6532,1
1,9,4,18,17,30,1,2,0,0,0,17,50,0,0,0,0,1,7,0,10201,2009,34.1367,-86.4954,1
1,101,4,18,15,52,1,2,0,0,0,16,15,0,0,0,0,1,7,1,10202,2009,32.1021,-86.4056,1
1,89,4,19,6,30,1,1,0,0,0,6,39,0,0,0,0,1,1,0,10203,2009,34.6983,-86.6203,2
1,21,4,21,5,10,2,3,0,1,2,5,20,0,0,0,0,2,3,0,10204,2009,32.7092,-86.8239,1
1,117,4,22,22,45,1,1,0,0,0,22,50,0,0,0,0,1,4,0,10205,2009,33.377,-86.7138,1
1,11,4,25,3,0,1,1,0,0,0,7,55,0,0,0,0,1,7,1,10206,2009,32.1801,-85.7395,1
1,121,4,27,10,45,5,6,0,1,1,10,54,0,19,0,0,1,2,0,10207,2009,33.5835,-86.0328,1
1,97,1,25,4,45,1,2,0,1,0,4,56,0,0,0,0,2,1,1,10208,2009,30.6866,-88.2169,1
1,125,3,24,2,13,2,6,0,1,1,2,20,0,0,0,0,1,3,1,10209,2009,33.2359,-87.552,1
1,81,4,2,19,32,2,3,0,0,5,19,40,0,0,0,0,1,5,0,10210,2009,32.5805,-85.5215,1
1,25,4,14,23,5,1,3,0,0,0,23,51,0,0,0,0,1,3,0,10211,2009,31.4649,-87.7256,1
1,97,4,17,20,20,4,5,1,0,0,20,27,0,0,0,0,1,6,0,10212,2009,30.5889,-88.2049,1
1,113,4,18,20,40,1,3,1,1,0,20,55,0,0,0,0,1,7,1,10213,2009,32.4954,-85.0409,1
1,47,4,18,1,30,2,4,0,0,11,3,56,0,0,0,0,3,7,1,10214,2009,32.249,-87.0465,1
1,15,4,18,6,40,2,3,0,0,2,6,45,0,0,0,0,2,7,0,10215,2009,33.8686,-85.8999,1
1,115,4,20,20,25,2,3,0,1,1,20,55,0,0,0,0,1,2,0,10216,2009,33.5642,-86.5332,1
1,49,4,24,18,40,1,4,0,0,0,19,10,0,0,0,0,1,6,0,10217,2009,34.8301,-85.621,1
1,121,4,25,2,25,1,2,1,0,0,2,35,0,0,0,0,1,7,0,10218,2009,33.5801,-86.0744,1
1,129,4,25,12,45,1,2,0,0,0,13,18,0,0,0,0,1,7,0,10219,2009,31.5634,-88.1175,1
1,95,4,25,14,0,1,1,0,0,0,14,8,0,0,0,0,1,7,0,10220,2009,34.3509,-86.4436,1
1,89,4,26,1,30,1,1,0,0,0,1,50,0,0,0,0,1,1,1,10221,2009,34.7864,-86.7052,1
1,7,4,28,9,5,2,2,0,0,2,9,30,0,0,0,0,1,3,0,10222,2009,33.0448,-86.9519,1
1,79,4,29,10,24,2,2,0,0,5,10,29,0,0,0,0,1,4,0,10223,2009,34.4232,-87.2343,1
1,1,4,29,2,30,2,2,0,1,5,3,6,0,0,0,0,1,4,0,10224,2009,32.5012,-86.4176,1
1,75,4,30,11,55,1,1,0,0,0,12,0,0,0,0,0,1,5,1,10225,2009,33.8233,-88.1445,1
1,103,4,2,16,30,1,4,0,0,0,16,36,0,0,0,0,1,5,0,10226,2009,34.4723,-86.9585,2
