STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,TRAF_FLO,SP_LIMIT,SUR_COND,HIT_RUN,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,99,3,29,18,35,1,2,0,0,0,1,40,1,0,18,46,0,0,0,0,1,7,1,10141,2008,31.3918,-87.3685,1,1
1,127,3,19,9,15,1,1,0,0,0,2,65,2,0,9,28,0,0,0,0,1,4,0,10142,2008,33.7886,-87.0905,1,2
1,111,3,29,4,30,1,1,0,1,0,1,45,1,0,5,28,0,0,0,0,1,7,1,10143,2008,33.4367,-85.5198,1,1
1,71,3,30,17,50,1,2,0,0,0,1,45,1,0,18,0,0,0,0,0,1,1,0,10144,2008,34.6385,-85.8113,1,1
1,103,3,13,5,20,1,1,0,0,0,1,45,1,0,6,0,0,0,0,0,1,5,0,10145,2008,34.4741,-87.0019,1,1
1,97,3,13,20,5,2,4,1,0,0,1,20,1,2,20,10,0,0,0,0,1,5,0,10146,2008,30.7393,-88.0944,2,1
1,73,3,30,0,58,2,2,0,1,4,2,55,2,0,1,3,0,0,0,0,1,1,0,10147,2008,33.596,-86.7605,2,1
1,73,3,16,1,11,2,7,0,0,2,1,40,1,0,1,19,0,0,0,0,1,1,1,10148,2008,33.4567,-87.1937,2,1
1,97,4,1,5,55,1,1,0,0,0,2,45,1,0,6,2,0,0,0,0,1,3,0,10149,2008,30.6855,-88.1449,1,1
1,63,3,15,16,55,1,1,0,1,0,2,55,1,0,17,50,0,0,0,0,1,7,0,10150,2008,32.5507,-87.8349,1,1
1,127,2,21,11,5,1,2,0,0,0,2,65,2,0,11,13,0,0,0,0,1,5,0,10151,2008,33.7791,-87.0828,1,2
1,83,3,6,13,35,1,1,0,0,0,1,45,1,0,13,50,0,0,0,0,1,5,0,10152,2008,34.9271,-87.0127,1,1
1,71,3,17,15,53,2,2,0,0,1,1,55,1,0,99,99,0,0,0,0,1,2,0,10153,2008,34.8248,-85.7858,2,1
1,103,3,8,23,5,1,1,0,1,0,2,65,1,0,23,25,0,0,0,0,1,7,0,10154,2008,34.6278,-87.0902,1,1
1,89,3,14,8,20,2,4,1,0,0,1,40,2,0,8,32,0,0,0,0,1,6,0,10155,2008,34.8596,-86.731,2,1
1,97,3,28,13,20,2,2,0,0,1,1,45,1,0,13,25,0,0,0,0,1,6,0,10156,2008,30.6473,-88.1296,2,1
