REG_STAT,DEATHS,ST_CASE,WGTCD_TR,L_STATE,L_TYPE,L_STATUS,PREV_ACC,PREV_OTH
1,0,10468,1,1,1,6,0,0
1,2,10468,,1,1,6,0,0
1,4,10469,1,1,0,0,99,99
1,1,10470,,1,1,6,1,0
1,0,10471,,1,0,0,99,99
1,0,10471,1,1,1,6,2,1
13,1,10472,2,13,0,0,98,0
1,1,10473,1,1,1,6,0,0
1,0,10473,8,1,1,6,1,1
1,1,10474,,1,7,3,0,0
40,0,10475,,40,1,6,0,0
12,0,10475,2,12,1,6,0,0
1,2,10475,1,1,1,6,0,0
1,0,10476,,1,1,6,1,0
12,0,10476,8,45,1,6,1,0
1,0,10477,,1,1,6,0,0
92,1,10477,,1,1,1,1,0
1,1,10478,1,1,1,1,99,99
1,1,10479,,1,1,6,1,1
1,0,10480,6,1,1,6,0,0
1,1,10480,,1,1,6,2,0
1,1,10481,,1,1,6,0,0
1,0,10482,,1,1,6,1,0
1,1,10482,1,1,1,6,0,0
1,0,10483,2,1,1,4,0,1
17,0,10483,1,17,1,6,0,0
1,1,10484,1,1,0,0,99,99
1,1,10485,2,1,1,6,0,0
13,1,10486,,22,2,6,0,0
1,2,10487,,1,1,6,0,0
13,1,10488,,13,2,6,98,0
1,1,10489,1,1,1,6,0,0
1,0,10489,2,1,1,6,1,0
1,1,10490,1,1,1,6,0,0
1,1,10491,,1,1,6,0,0
1,1,10492,,1,1,1,0,0
1,2,10493,,13,1,6,98,0
1,0,10493,,1,1,6,0,0
1,1,10494,,1,1,6,1,0
1,1,10495,1,1,1,6,0,0
1,1,10496,,1,1,6,1,0
13,2,10497,,13,1,6,98,0
1,1,10498,,1,0,0,99,99
1,0,10498,,1,1,6,0,0
92,1,10499,9,1,1,6,0,0
28,1,10500,,28,1,6,0,0
1,1,10501,,1,1,1,0,3
48,1,10502,,48,1,6,1,0
