VEH_NO,PER_NO,AGE,SEX,REST_USE,ST_CASE,BODY_TYP
2,1,34,1,3,10309,66
1,1,27,1,0,10310,2
1,2,42,1,0,10310,2
1,1,19,1,0,10311,31
1,1,50,2,0,10312,31
1,1,20,2,3,10313,2
0,1,1,1,0,10314,
0,2,28,2,0,10314,
1,1,43,1,0,10314,31
1,1,17,1,3,10315,2
1,1,54,1,0,10316,4
1,1,23,1,0,10317,30
1,1,44,1,0,10318,14
1,2,48,1,3,10318,14
2,1,49,2,3,10318,4
2,2,22,2,3,10318,4
2,3,26,2,3,10318,4
1,1,35,1,0,10319,15
1,1,20,1,0,10320,4
2,1,20,2,0,10320,4
1,1,17,2,3,10321,14
1,2,39,2,0,10321,14
1,3,99,9,3,10321,14
1,1,36,1,5,10322,80
1,1,17,1,3,10323,31
2,1,48,1,5,10323,80
1,1,48,1,0,10324,63
1,1,28,1,3,10325,4
1,1,19,1,3,10326,21
2,1,40,1,5,10326,80
3,1,35,1,3,10326,30
3,2,30,1,3,10326,30
4,1,34,1,3,10326,4
1,1,16,2,0,10327,4
1,2,16,2,3,10327,4
1,1,16,2,0,10328,2
1,2,16,2,0,10328,2
1,3,13,1,0,10328,2
1,4,99,9,0,10328,2
1,1,61,2,3,10329,4
2,1,51,1,3,10329,4
1,1,27,1,0,10330,31
2,1,51,1,3,10330,4
1,1,43,2,0,10331,4
1,1,50,1,0,10332,63
1,1,30,1,0,10333,4
1,2,99,9,3,10333,4
1,1,20,2,99,10334,4
1,2,19,2,99,10334,4
2,1,42,1,3,10334,66
1,1,31,1,0,10335,4
1,2,42,1,0,10335,4
1,1,63,1,3,10336,4
1,2,63,2,3,10336,4
1,3,25,2,3,10336,4
1,4,0,1,0,10336,4
2,1,28,2,3,10336,21
2,2,31,1,3,10336,21
3,1,36,1,3,10336,14
4,1,45,2,3,10336,4
5,1,53,2,3,10336,4
1,1,30,1,0,10337,90
2,1,33,1,0,10337,90
0,1,44,1,0,10338,
1,1,99,9,99,10338,99
1,1,20,1,0,10339,2
1,1,21,1,3,10340,2
1,2,19,1,3,10340,2
1,1,18,1,3,10341,4
1,2,19,1,3,10341,4
1,1,30,1,5,10342,80
1,1,48,1,3,10343,30
1,2,46,2,0,10343,30
1,1,19,1,0,10344,4
1,1,27,1,3,10345,4
1,2,99,9,3,10345,4
2,1,57,1,5,10345,80
1,1,29,1,3,10346,4
