ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
121791,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000
121792,0.0000,10.0000,0.0000,16.0000,23.0000,17.0000,0.0000,0.0000,13.0000,25.0000
121793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0000,0.0000
121794,4.0000,8.0000,18.0000,24.0000,11.0000,23.0000,26.0000,12.0000,24.0000,8.0000
121796,25.0000,17.0000,14.0000,27.0000,14.0000,14.0000,15.0000,14.0000,18.0000,14.0000
121797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000
121798,17.0000,17.0000,17.0000,17.0000,17.0000,17.0000,17.0000,17.0000,17.0000,17.0000
121800,0.0000,0.0000,0.0000,0.0000,0.0000,17.0000,25.0000,14.0000,0.0000,0.0000
121801,19.0000,19.0000,19.0000,19.0000,19.0000,19.0000,19.0000,19.0000,19.0000,19.0000
121802,0.0000,0.0000,23.0000,0.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121803,0.0000,0.0000,4.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121804,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121805,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000
121806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121809,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
121810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,0.0000,0.0000
121811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
